query_id,logical_query_id,mode,attempt_index,initiator_worker,source_worker,topic,finalized,latency_seconds,nodes_contacted,max_hop,source_reached,pageindex_calls,pageindex_latency_seconds_total,pageindex_latency_seconds_max,pageindex_latency_seconds_avg,pageindex_latency_count,evidence_count,retrieval_success,not_found,final_failed
xzpmxgfn-q2::chain_hop::node16::attempt1,xzpmxgfn-q2::chain_hop::node16,chain_hop,1,node16,node12,Local Health and Wellness,True,60.07207617801032,4,3,False,4,11.490780639986042,3.482105800998397,2.8726951599965105,4,0,False,True,False
xzpmxgfn-q2::chain_hop::node16::attempt2,xzpmxgfn-q2::chain_hop::node16,chain_hop,2,node16,node12,Local Health and Wellness,True,60.06901894300245,4,3,False,4,13.842266248975648,3.494624455983285,3.460566562243912,4,0,False,True,False
xzpmxgfn-q3::chain_hop::node6::attempt1,xzpmxgfn-q3::chain_hop::node6,chain_hop,1,node6,node12,Local Health and Wellness,True,60.068783180002356,4,3,False,4,30.310918948001927,10.514076007995754,7.577729737000482,4,0,False,True,False
xzpmxgfn-q3::chain_hop::node6::attempt2,xzpmxgfn-q3::chain_hop::node6,chain_hop,2,node6,node12,Local Health and Wellness,True,60.06603409300442,4,3,False,4,30.24215523802559,10.49878569401335,7.560538809506397,4,0,False,True,False
ctpkzdhm-q1::chain_hop::node4::attempt1,ctpkzdhm-q1::chain_hop::node4,chain_hop,1,node4,node13,Local News,True,64.45057436000207,1,0,False,1,10.557528453995474,10.557528453995474,10.557528453995474,1,7,True,False,False
ctpkzdhm-q1::chain_hop::node4::attempt2,ctpkzdhm-q1::chain_hop::node4,chain_hop,2,node4,node13,Local News,True,70.61059585600742,3,2,False,3,12.715739908016985,8.163171587017132,4.238579969338995,3,7,True,False,False
ctpkzdhm-q2::chain_hop::node23::attempt1,ctpkzdhm-q2::chain_hop::node23,chain_hop,1,node23,node13,Local News,True,73.61001432102057,3,2,True,3,15.071933579980396,8.1556370180042,5.023977859993465,3,1,True,False,False
ctpkzdhm-q2::chain_hop::node23::attempt2,ctpkzdhm-q2::chain_hop::node23,chain_hop,2,node23,node13,Local News,True,60.07166009998764,4,3,True,4,13.793754235026427,8.145301009994,3.4484385587566067,4,0,False,True,False
ctpkzdhm-q3::chain_hop::node21::attempt1,ctpkzdhm-q3::chain_hop::node21,chain_hop,1,node21,node13,Local News,True,60.067039891000604,4,3,False,4,25.52972474100534,10.492596566007705,6.382431185251335,4,0,False,True,False
ctpkzdhm-q3::chain_hop::node21::attempt2,ctpkzdhm-q3::chain_hop::node21,chain_hop,2,node21,node13,Local News,True,65.14212393501657,1,0,False,1,8.154150363989174,8.154150363989174,8.154150363989174,1,1,True,False,False
ieaalfsp-q1::chain_hop::node10::attempt1,ieaalfsp-q1::chain_hop::node10,chain_hop,1,node10,node14,Local News,True,60.06410897200112,1,0,False,1,3.444976561993826,3.444976561993826,3.444976561993826,1,0,False,True,False
ieaalfsp-q1::chain_hop::node10::attempt2,ieaalfsp-q1::chain_hop::node10,chain_hop,2,node10,node14,Local News,True,60.068502217996866,1,0,False,1,3.446536202012794,3.446536202012794,3.446536202012794,1,0,False,True,False
ieaalfsp-q2::chain_hop::node27::attempt1,ieaalfsp-q2::chain_hop::node27,chain_hop,1,node27,node14,Local News,True,60.05109146499308,4,3,False,4,11.486824134015478,3.4790106959990226,2.8717060335038695,4,0,False,True,False
ieaalfsp-q2::chain_hop::node27::attempt2,ieaalfsp-q2::chain_hop::node27,chain_hop,2,node27,node14,Local News,True,60.047875398013275,4,3,False,4,13.80111324499012,3.46182199701434,3.45027831124753,4,0,False,True,False
ieaalfsp-q3::chain_hop::node26::attempt1,ieaalfsp-q3::chain_hop::node26,chain_hop,1,node26,node14,Local News,True,60.16799576600897,4,3,True,4,11.413410556036979,3.4537699070060626,2.8533526390092447,4,0,False,True,False
ieaalfsp-q3::chain_hop::node26::attempt2,ieaalfsp-q3::chain_hop::node26,chain_hop,2,node26,node14,Local News,True,69.5916453320242,3,2,True,3,15.053230254008668,8.153107771009672,5.0177434180028895,3,1,True,False,False
tmjjqhwj-q1::chain_hop::node9::attempt1,tmjjqhwj-q1::chain_hop::node9,chain_hop,1,node9,node15,Local News,True,60.190511979017174,1,0,False,1,3.4423365510010626,3.4423365510010626,3.4423365510010626,1,0,False,True,False
